Family;Species ;Phyto. Ori.;Aboveground Biomass (Mg.ha-1);;;;;;Species Abundance (ha-1);;;;;
;;;MF1;MF2;MF3;MF4;MF5;MF6;MF1;MF2;MF3;MF4;MF5;MF6
Anacardiaceae;;;;;;;;;;;;;;
;Astronium graveolens;Trop;;0,613;;;;;;7;;;;
;Lithraea molleoides;Trop;;1,447;;;;;;3;;;;
;Schinus terebenthifolius;Trop;1,122;;;;;;8;;;;;
;Tapirira guianensis;Trop;;0,308;;;;;;5;;;;
Annonaceae;;;;;;;;;;;;;;
;Annona emarginata;Trop;;;3,105;0,064;;1,022;;;78;3;;50
;Annona mucosa;Trop;;;;;0,229;;;;;;8;
;Annona sylvatica;Trop;0,725;;;;0,031;;8;;;;1;
;Duguetia lanceolata;Trop;;7,295;;;0,113;;;28;;;1;
;Guatteria australis;Trop;0,373;0,797;;0,634;0,205;;28;12;;6;5;
;Porcelia macrocarpa;Trop;;0,761;;;;;;1;;;;
;Xylopia brasiliensis;Trop;;0,047;;;;;;1;;;;
;Xylopia langsdorffiana;Trop;0,023;;;;;;1;;;;;
Apocynaceae;;;;;;;;;;;;;;
;Aspidosperma olivaceum;Trop;;;;;0,090;;;;;;2;
;Aspidosperma polyneurum;Trop;;6,181;;;;;;19;;;;
;Aspidosperma quirandy;Trop;1,796;4,280;;;;;25;7;;;;
;Tabernaemontana laeta;Trop;;0,042;;;;;;1;;;;
Aquifoliaceae;;;;;;;;;;;;;;
;Ilex sp1;Temp;;;0,036;;;;;;1;;;
;Ilex sp2;Temp;;;0,007;;;;;;1;;;
;Ilex chamaedryfolia;Temp;;;;;;0,874;;;;;;32
;Ilex dumosa;Temp;0,151;;;0,027;0,021;;1;;;2;2;
;Ilex microdonta;Temp;;;2,006;1,422;;;;;29;15;;
;Ilex paraguariensis;Temp;;0,148;;0,078;1,752;;;5;;6;40;
;Ilex pseudobuxus;Temp;;;0,585;;;;;;10;;;
