"bc"	"bp"	"cj"	"fb"	"fsf"	"it"
"Araucaria_angustifolia"	109	96	82	37	57	9
"Prunus_myrtifolia"	40	8	94	23	74	10
"Casearia_decandra"	23	0	2	19	1	3
"Ocotea_bicolor"	1	0	9	23	3	6
"Clethra_scabra"	0	3	9	8	96	1
"Myrsine_umbellata"	0	105	106	44	80	1
"Ocotea_pulchella"	0	70	72	79	18	1
"Cedrela_fissilis"	20	0	0	2	2	5
"Piptocarpha_regnellii"	1	39	23	35	20	0
"Ilex_taubertiana"	3	0	11	77	8	0
"Ilex_theezans"	7	0	6	12	3	0
"Drimys_brasiliensis"	0	20	214	1	420	0
"Podocarpus_lambertii"	0	239	53	34	59	0
"Rhamnus_sphaerosperma"	0	5	6	3	10	0
"Symplocos_falcata"	0	10	67	3	67	0
"Myrceugenia_miersiana"	0	0	411	10	30	0
"Myrceugenia_rufescens"	0	0	52	13	69	0
"Myrcia_hartwegiana"	0	0	167	13	112	0
"Myrcia_splendens"	0	0	3	16	1	0
"Ocotea_glaziovii"	0	0	2	6	8	0
"Roupala_montana"	0	0	1	60	1	0
"Siphoneugena_reitzii"	0	0	9	1	10	0
"Guatteria_australis"	0	0	0	5	6	12
"Ilex_paraguariensis"	0	0	0	40	6	5
"Myrcia_pulchra"	0	0	0	62	1	1
"Eugenia_ligustrina"	9	0	2	16	0	102
"Allophylus_edulis"	85	20	0	8	0	20
"Myrcia_laruotteana"	0	73	64	114	0	3
"Persea_willdenovii"	0	0	3	5	0	1
"Cabralea_canjerana"	6	0	0	2	0	17
"Casearia_obliqua"	4	0	0	8	0	8
"Casearia_sylvestris"	44	0	0	42	0	29
"Endlicheria_paniculata"	2	0	0	1	0	2
"Guapira_opposita"	6	0	0	1	0	3
"Matayba_elaeagnoides"	163	0	0	394	0	30
"Maytenus_evonymoides"	5	0	0	2	0	4
"Myrcia_multiflora"	32	0	0	1	0	7
"Sorocea_bonplandii"	1	0	0	14	0	187
"Jacaranda_puberula"	81	0	37	1	0	0
"Ocotea_dispersa"	0	0	6	11	0	0
"Picramnia_parvifolia"	0	0	22	2	0	0
"Psychotria_vellosiana"	0	0	1	65	0	0
"Zanthoxylum_rhoifolium"	0	0	3	5	0	0
"Myrcia_guianensis"	0	1	0	51	0	0
"Myrcia_venulosa"	0	20	0	14	0	0
"Casearia_lasiophylla"	1	0	0	2	0	0
"Dalbergia_brasiliensis"	5	0	0	28	0	0
"Ocotea_odorifera"	3	0	0	1	0	0
"Sapium_glandulosum"	17	0	0	18	0	0
"Xylosma_ciliatifolia"	2	0	0	6	0	0
"Alchornea_glandulosa"	0	0	0	2	0	1
"Alchornea_triplinervia"	0	0	0	3	0	5
"Campomanesia_guazumifolia"	0	0	0	14	0	15
"Duguetia_lanceolata"	0	0	0	1	0	28
"Eugenia_ramboi"	0	0	0	76	0	3
"Mollinedia_argyrogyna"	0	0	0	2	0	2
"Nectandra_oppositifolia"	0	0	0	1	0	1
"Ocotea_corymbosa"	0	0	0	21	0	9
"Ocotea_diospyrifolia"	0	0	0	14	0	9
"Ocotea_silvestris"	0	0	0	4	0	6
"Rudgea_jasminoides"	0	0	0	23	0	54
"Schefflera_calva"	0	0	0	41	0	5
"Solanum_bullatum"	0	0	0	3	0	1
"Symplocos_insignis"	0	0	0	21	0	1
"Calyptranthes_widgreniana"	0	0	0	22	2	0
"Ilex_dumosa"	0	0	0	2	2	0
"Citronella_paniculata"	0	0	1	0	2	6
"Solanum_swartzianum"	0	0	1	0	30	1
"Ocotea_puberula"	42	0	6	0	1	0
"Cinnamomum_sellowianum"	0	0	95	0	7	0
"Ilex_microdonta"	0	0	29	0	15	0
"Miconia_cinerascens"	0	0	6	0	40	0
"Myrcia_retorta"	0	0	35	0	1	0
"Symplocos_variabilis"	3	0	0	0	108	0
"Sloanea_lasiocoma"	0	0	0	0	1	7
"Dasyphyllum_spinescens"	3	0	9	0	0	1
"Solanum_pseudoquina"	4	0	4	0	0	1
"Ocotea_indecora"	0	0	1	0	0	22
"Alibertia_myrciifolia"	9	0	0	0	0	3
"Aspidosperma_quirandy"	25	0	0	0	0	7
"Campomanesia_xanthocarpa"	49	0	0	0	0	4
"Cassia_leptophylla"	6	0	0	0	0	1
"Chrysophyllum_marginatum"	10	0	0	0	0	1
"Copaifera_langsdorffii"	2	0	0	0	0	3
"Cordyline_fruticosa"	35	0	0	0	0	1
"Cupania_vernalis"	10	0	0	0	0	1
"Exostyles_godoyensis"	2	0	0	0	0	19
"Guazuma_ulmifolia"	203	0	0	0	0	1
"Luehea_divaricata"	46	0	0	0	0	37
"Machaerium_nyctitans"	6	0	0	0	0	18
"Machaerium_scleroxylon"	2	0	0	0	0	13
"Machaerium_stipitatum"	68	0	0	0	0	17
"Maytenus_aquifolia"	3	0	0	0	0	5
"Myrcia_rostrata"	2	0	0	0	0	4
"Ocotea_elegans"	118	0	0	0	0	2
"Piptadenia_gonoacantha"	7	0	0	0	0	6
"Prockia_crucis"	3	0	0	0	0	5
"Rapanea_umbellata"	11	0	0	0	0	3
"Sebastiania_klotzschiana"	2	0	0	0	0	20
"Syagrus_romanzoffiana"	3	0	0	0	0	54
"Trichilia_elegans"	3	0	0	0	0	7
"Myrceugenia_brevipedicellata"	5	0	3	0	0	0
"Annona_rugulosa"	0	25	78	0	0	0
"Baccharis_oreophila"	0	7	1	0	0	0
"Mimosa_scabrella"	0	8	2	0	0	0
"Myrsine_coriacea"	0	6	6	0	0	0
"Pimenta_pseudocaryophyllus"	0	2	1	0	0	0
"Styrax_leprosus"	0	4	6	0	0	0
"Symplocos_celastrinea"	0	1	1	0	0	0
"Aegiphila_integrifolia"	0	0	1	0	0	0
"Callisthene_fasciculata"	0	0	1	0	0	0
"Calyptranthes_(=1475 coletado)"	0	0	2	0	0	0
"Calyptranthes_lucida"	0	0	6	0	0	0
"Ilex_(=2015_2190)"	0	0	1	0	0	0
"Ilex_(=2015_2273)"	0	0	1	0	0	0
"Ilex_pseudobuxus"	0	0	10	0	0	0
"Maytenus_salicifolia"	0	0	2	0	0	0
"Myciaria_tenella"	0	0	1	0	0	0
"Myrceugenia_ovata"	0	0	4	0	0	0
"Myrceugenia_sp. 2"	0	0	20	0	0	0
"Myrciaria_tenella"	0	0	22	0	0	0
"Persea_alba"	0	0	1	0	0	0
"Picramnia_glazioviana"	0	0	2	0	0	0
"Picramnia_sp"	0	0	4	0	0	0
"Solanum_(=231)"	0	0	1	0	0	0
"Solanum_mauritianum"	0	0	5	0	0	0
