"","Site","Lvl.Dens","Wood_den_ab","Wood_den..."
"1","MF1","dataset",49,2.32447817836812
"2","MF1","family",3,0.142314990512334
"3","MF1","genus",984,46.6793168880455
"4","MF1","species",1072,50.853889943074
"5","MF2","dataset",127,7.94246404002502
"6","MF2","genus",745,46.5916197623515
"7","MF2","species",727,45.4659161976235
"8","MF3","dataset",48,2.51177394034537
"9","MF3","genus",1480,77.4463631606489
"10","MF3","species",383,20.0418628990058
"11","MF4","dataset",22,1.55148095909732
"12","MF4","genus",1088,76.7277856135402
"13","MF4","species",308,21.7207334273625
"14","MF5","dataset",39,1.76710466696874
"15","MF5","genus",1570,71.1372904395107
"16","MF5","species",598,27.0956048935206
"17","MF6","dataset",26,2.35081374321881
"18","MF6","genus",622,56.2386980108499
"19","MF6","species",458,41.4104882459313
