"id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status.cnc","threat.status.mma","threat.status.mma2022","notes","original.search"
"1",4385,"Astronium graveolens Jacq.",NA,"Anacardiaceae","species","accepted","Astronium graveolens","LC",NA,NA,"","Astronium graveolens"
"2",4391,"Lithraea molleoides (Vell.) Engl.",NA,"Anacardiaceae","species","accepted","Lithraea molleoides",NA,NA,NA,"","Lithraea molleoides"
"3",15471,"Schinus terebinthifolia Raddi","Schinus terebinthifolius Raddi","Anacardiaceae","species","accepted","Schinus terebinthifolia",NA,NA,NA,"was misspelled|replaced synonym","Schinus terebenthifolius"
"4",4408,"Tapirira guianensis Aubl.",NA,"Anacardiaceae","species","accepted","Tapirira guianensis",NA,NA,NA,"","Tapirira guianensis"
"5",110243,"Annona emarginata (Schltdl.) H.Rainer",NA,"Annonaceae","species","accepted","Annona emarginata","LC|VU",NA,NA,"","Annona emarginata"
"6",110252,"Annona mucosa Jacq.",NA,"Annonaceae","species","accepted","Annona mucosa",NA,NA,NA,"","Annona mucosa"
"7",110243,"Annona emarginata (Schltdl.) H.Rainer",NA,"Annonaceae","species","accepted","Annona emarginata","LC|VU",NA,NA,"replaced synonym","Annona rugulosa"
"8",110263,"Annona sylvatica A.St.-Hil.",NA,"Annonaceae","species","accepted","Annona sylvatica",NA,NA,NA,"","Annona sylvatica"
"9",110319,"Duguetia lanceolata A.St.-Hil.",NA,"Annonaceae","species","accepted","Duguetia lanceolata","LC",NA,NA,"","Duguetia lanceolata"
"10",110377,"Guatteria australis A.St.-Hil.",NA,"Annonaceae","species","accepted","Guatteria australis","LC",NA,NA,"","Guatteria australis"
"11",110377,"Guatteria australis A.St.-Hil.",NA,"Annonaceae","species","accepted","Guatteria australis","LC",NA,NA,"replaced synonym","Guatteria hilariana"
"12",110377,"Guatteria australis A.St.-Hil.",NA,"Annonaceae","species","accepted","Guatteria australis","LC",NA,NA,"replaced synonym","Guatteria nigrescens"
"13",110507,"Porcelia macrocarpa (Warm.) R.E.Fr.",NA,"Annonaceae","species","accepted","Porcelia macrocarpa",NA,NA,NA,"","Porcelia macrocarpa"
"14",110263,"Annona sylvatica A.St.-Hil.",NA,"Annonaceae","species","accepted","Annona sylvatica",NA,NA,NA,"was misspelled|replaced synonym","Rollinia silvatica"
"15",110560,"Xylopia brasiliensis Spreng.",NA,"Annonaceae","species","accepted","Xylopia brasiliensis","NT",NA,"VU","","Xylopia brasiliensis"
"16",110573,"Xylopia langsdorffiana A.St.-Hil.",NA,"Annonaceae","species","accepted","Xylopia langsdorffiana",NA,NA,NA,"","Xylopia langsdorffiana"
"17",4528,"Aspidosperma olivaceum Müll.Arg.",NA,"Apocynaceae","species","accepted","Aspidosperma olivaceum",NA,NA,NA,"","Aspidosperma olivaceum"
"18",4530,"Aspidosperma polyneuron Müll.Arg.",NA,"Apocynaceae","species","accepted","Aspidosperma polyneuron","NT",NA,NA,"was misspelled","Aspidosperma polyneurum"
"19",4531,"Aspidosperma quirandy Hassl.",NA,"Apocynaceae","species","accepted","Aspidosperma quirandy",NA,NA,NA,"","Aspidosperma quirandy"
"20",4864,"Tabernaemontana laeta Mart.",NA,"Apocynaceae","species","accepted","Tabernaemontana laeta",NA,NA,NA,"","Tabernaemontana laeta"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not found","Ilex (=2015 2190)"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not found","Ilex (=2015 2273)"
"23",4889,"Ilex dumosa Reissek",NA,"Aquifoliaceae","species","accepted","Ilex dumosa",NA,NA,NA,"replaced synonym","Ilex amara"
"24",26487,"Ilex chamaedryfolia Reissek",NA,"Aquifoliaceae","species","accepted","Ilex chamaedryfolia","LC",NA,NA,"","Ilex chamaedryfolia"
"25",4889,"Ilex dumosa Reissek",NA,"Aquifoliaceae","species","accepted","Ilex dumosa",NA,NA,NA,"","Ilex dumosa"
"26",4900,"Ilex microdonta Reissek",NA,"Aquifoliaceae","species","accepted","Ilex microdonta",NA,NA,NA,"","Ilex microdonta"
"27",4904,"Ilex paraguariensis A.St.-Hil.",NA,"Aquifoliaceae","species","accepted","Ilex paraguariensis","LC",NA,NA,"","Ilex paraguariensis"
"28",4906,"Ilex pseudobuxus Reissek",NA,"Aquifoliaceae","species","accepted","Ilex pseudobuxus",NA,NA,NA,"","Ilex pseudobuxus"
"29",4909,"Ilex taubertiana Loes.",NA,"Aquifoliaceae","species","accepted","Ilex taubertiana",NA,NA,NA,"","Ilex taubertiana"
"30",4910,"Ilex theezans Mart. ex Reissek",NA,"Aquifoliaceae","species","accepted","Ilex theezans",NA,NA,NA,"","Ilex theezans"
"31",5105,"Dendropanax cuneatus (DC.) Decne. & Planch.",NA,"Araliaceae","species","accepted","Dendropanax cuneatus","LC",NA,NA,"","Dendropanax cuneatus"
"32",43242,"Didymopanax angustissimus Marchal",NA,"Araliaceae","species","accepted","Didymopanax angustissimus",NA,NA,NA,"replaced synonym","Schefflera angustissima"
"33",606945,"Didymopanax calvus (Cham.) Decne. & Planch.",NA,"Araliaceae","species","accepted","Didymopanax calvus","LC",NA,NA,"replaced synonym","Schefflera calva"
"34",33971,"Araucaria angustifolia (Bertol.) Kuntze",NA,"Araucariaceae","species","accepted","Araucaria angustifolia","EN","EN","EN","","Araucaria angustifolia"
"35",15712,"Euterpe edulis Mart.",NA,"Arecaceae","species","accepted","Euterpe edulis","VU","VU","VU","","Euterpe edulis"
"36",15745,"Syagrus romanzoffiana (Cham.) Glassman",NA,"Arecaceae","species","accepted","Syagrus romanzoffiana","LC",NA,NA,"","Syagrus romanzoffiana"
"37",609357,"Cordyline fruticosa (L.) A.Chev.",NA,"Asparagaceae","species","accepted","Cordyline fruticosa",NA,NA,NA,"","Cordyline fruticosa"
"38",5219,"Baccharis oblongifolia (Ruiz & Pav.) Pers.",NA,"Asteraceae","species","accepted","Baccharis oblongifolia",NA,NA,NA,"","Baccharis oblongifolia"
"39",5222,"Baccharis oreophila Malme",NA,"Asteraceae","species","accepted","Baccharis oreophila",NA,NA,NA,"","Baccharis oreophila"
"40",26979,"Chromolaena pedunculosa (Hook. & Arn.) R.M.King & H.Rob.",NA,"Asteraceae","species","accepted","Chromolaena pedunculosa",NA,NA,NA,"","Chromolaena pedunculosa"
"41",104549,"Critoniopsis stellata (Spreng.) H.Rob.",NA,"Asteraceae","species","accepted","Critoniopsis stellata",NA,NA,NA,"","Critoniopsis stellata"
"42",5303,"Dasyphyllum spinescens (Less.) Cabrera",NA,"Asteraceae","species","accepted","Dasyphyllum spinescens",NA,NA,NA,"","Dasyphyllum spinescens"
"43",130869,"Moquiniastrum polymorphum (Less.) G. Sancho",NA,"Asteraceae","species","accepted","Moquiniastrum polymorphum",NA,NA,NA,"replaced synonym","Gochnatia polymorpha"
"44",130869,"Moquiniastrum polymorphum (Less.) G. Sancho",NA,"Asteraceae","species","accepted","Moquiniastrum polymorphum",NA,NA,NA,"","Moquiniastrum polymorphum"
"45",5488,"Piptocarpha regnellii (Sch.Bip.) Cabrera",NA,"Asteraceae","species","accepted","Piptocarpha regnellii",NA,NA,NA,"","Piptocarpha regnellii"
"46",104490,"Vernonanthura discolor (Spreng.) H.Rob.",NA,"Asteraceae","species","accepted","Vernonanthura discolor",NA,NA,NA,"","Vernonanthura discolor"
"47",27444,"Vernonanthura divaricata (Spreng.) H.Rob.",NA,"Asteraceae","species","accepted","Vernonanthura divaricata",NA,NA,NA,"","Vernonanthura divaricata"
"48",104490,"Vernonanthura discolor (Spreng.) H.Rob.",NA,"Asteraceae","species","accepted","Vernonanthura discolor",NA,NA,NA,"replaced synonym","Vernonia discolor"
"49",16377,"Vernonia Schreb.",NA,"Asteraceae","genus","accepted","Vernonia sp.",NA,NA,NA,"","Vernonia sp."
"50",114091,"Handroanthus ochraceus (Cham.) Mattos",NA,"Bignoniaceae","species","accepted","Handroanthus ochraceus",NA,NA,NA,"","Handroanthus ochraceus"
"51",114124,"Jacaranda cuspidifolia Mart.",NA,"Bignoniaceae","species","accepted","Jacaranda cuspidifolia",NA,NA,NA,"","Jacaranda cuspidifolia"
"52",114153,"Jacaranda micrantha Cham.",NA,"Bignoniaceae","species","accepted","Jacaranda micrantha",NA,NA,NA,"","Jacaranda micrantha"
"53",114174,"Jacaranda puberula Cham.",NA,"Bignoniaceae","species","accepted","Jacaranda puberula","LC",NA,NA,"","Jacaranda puberula"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not found","Jacaranda sp"
"55",114468,"Zeyheria tuberculosa (Vell.) Bureau ex Verl.",NA,"Bignoniaceae","species","accepted","Zeyheria tuberculosa","VU","VU",NA,"","Zeyheria tuberculosa"
