"id"	"scientific.name"	"accepted.name"	"family"	"taxon.rank"	"taxon.status"	"search.str"	"threat.status.cnc"	"threat.status.mma"	"threat.status.mma2022"	"notes"	"original.search"
"1"	4385	"Astronium graveolens Jacq."	NA	"Anacardiaceae"	"species"	"accepted"	"Astronium graveolens"	"LC"	NA	NA	""	"Astronium graveolens"
"2"	4391	"Lithraea molleoides (Vell.) Engl."	NA	"Anacardiaceae"	"species"	"accepted"	"Lithraea molleoides"	NA	NA	NA	""	"Lithraea molleoides"
"3"	15471	"Schinus terebinthifolia Raddi"	"Schinus terebinthifolius Raddi"	"Anacardiaceae"	"species"	"accepted"	"Schinus terebinthifolia"	NA	NA	NA	"was misspelled|replaced synonym"	"Schinus terebenthifolius"
"4"	4408	"Tapirira guianensis Aubl."	NA	"Anacardiaceae"	"species"	"accepted"	"Tapirira guianensis"	NA	NA	NA	""	"Tapirira guianensis"
"5"	110243	"Annona emarginata (Schltdl.) H.Rainer"	NA	"Annonaceae"	"species"	"accepted"	"Annona emarginata"	"LC|VU"	NA	NA	""	"Annona emarginata"
"6"	110252	"Annona mucosa Jacq."	NA	"Annonaceae"	"species"	"accepted"	"Annona mucosa"	NA	NA	NA	""	"Annona mucosa"
"7"	110263	"Annona sylvatica A.St.-Hil."	NA	"Annonaceae"	"species"	"accepted"	"Annona sylvatica"	NA	NA	NA	""	"Annona sylvatica"
"8"	110319	"Duguetia lanceolata A.St.-Hil."	NA	"Annonaceae"	"species"	"accepted"	"Duguetia lanceolata"	"LC"	NA	NA	""	"Duguetia lanceolata"
"9"	110377	"Guatteria australis A.St.-Hil."	NA	"Annonaceae"	"species"	"accepted"	"Guatteria australis"	"LC"	NA	NA	""	"Guatteria australis"
"10"	110507	"Porcelia macrocarpa (Warm.) R.E.Fr."	NA	"Annonaceae"	"species"	"accepted"	"Porcelia macrocarpa"	NA	NA	NA	""	"Porcelia macrocarpa"
"11"	110560	"Xylopia brasiliensis Spreng."	NA	"Annonaceae"	"species"	"accepted"	"Xylopia brasiliensis"	"NT"	NA	"VU"	""	"Xylopia brasiliensis"
"12"	110573	"Xylopia langsdorffiana A.St.-Hil."	NA	"Annonaceae"	"species"	"accepted"	"Xylopia langsdorffiana"	NA	NA	NA	""	"Xylopia langsdorffiana"
"13"	4528	"Aspidosperma olivaceum Müll.Arg."	NA	"Apocynaceae"	"species"	"accepted"	"Aspidosperma olivaceum"	NA	NA	NA	""	"Aspidosperma olivaceum"
"14"	4530	"Aspidosperma polyneuron Müll.Arg."	NA	"Apocynaceae"	"species"	"accepted"	"Aspidosperma polyneuron"	"NT"	NA	NA	"was misspelled"	"Aspidosperma polyneurum"
"15"	4531	"Aspidosperma quirandy Hassl."	NA	"Apocynaceae"	"species"	"accepted"	"Aspidosperma quirandy"	NA	NA	NA	""	"Aspidosperma quirandy"
"16"	4864	"Tabernaemontana laeta Mart."	NA	"Apocynaceae"	"species"	"accepted"	"Tabernaemontana laeta"	NA	NA	NA	""	"Tabernaemontana laeta"
"17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not found"	"Ilex (=2015_2190)"
"18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not found"	"Ilex (=2015_2273)"
"19"	26487	"Ilex chamaedryfolia Reissek"	NA	"Aquifoliaceae"	"species"	"accepted"	"Ilex chamaedryfolia"	"LC"	NA	NA	""	"Ilex chamaedryfolia"
"20"	4889	"Ilex dumosa Reissek"	NA	"Aquifoliaceae"	"species"	"accepted"	"Ilex dumosa"	NA	NA	NA	""	"Ilex dumosa"
"21"	4900	"Ilex microdonta Reissek"	NA	"Aquifoliaceae"	"species"	"accepted"	"Ilex microdonta"	NA	NA	NA	""	"Ilex microdonta"
"22"	4904	"Ilex paraguariensis A.St.-Hil."	NA	"Aquifoliaceae"	"species"	"accepted"	"Ilex paraguariensis"	"LC"	NA	NA	""	"Ilex paraguariensis"
"23"	4906	"Ilex pseudobuxus Reissek"	NA	"Aquifoliaceae"	"species"	"accepted"	"Ilex pseudobuxus"	NA	NA	NA	""	"Ilex pseudobuxus"
"24"	4909	"Ilex taubertiana Loes."	NA	"Aquifoliaceae"	"species"	"accepted"	"Ilex taubertiana"	NA	NA	NA	""	"Ilex taubertiana"
"25"	4910	"Ilex theezans Mart. ex Reissek"	NA	"Aquifoliaceae"	"species"	"accepted"	"Ilex theezans"	NA	NA	NA	""	"Ilex theezans"
"26"	5105	"Dendropanax cuneatus (DC.) Decne. & Planch."	NA	"Araliaceae"	"species"	"accepted"	"Dendropanax cuneatus"	"LC"	NA	NA	""	"Dendropanax cuneatus"
"27"	43242	"Didymopanax angustissimus Marchal"	NA	"Araliaceae"	"species"	"accepted"	"Didymopanax angustissimus"	NA	NA	NA	"replaced synonym"	"Schefflera angustissima"
"28"	606945	"Didymopanax calvus (Cham.) Decne. & Planch."	NA	"Araliaceae"	"species"	"accepted"	"Didymopanax calvus"	"LC"	NA	NA	"replaced synonym"	"Schefflera calva"
"29"	33971	"Araucaria angustifolia (Bertol.) Kuntze"	NA	"Araucariaceae"	"species"	"accepted"	"Araucaria angustifolia"	"EN"	"EN"	"EN"	""	"Araucaria angustifolia"
"30"	15712	"Euterpe edulis Mart."	NA	"Arecaceae"	"species"	"accepted"	"Euterpe edulis"	"VU"	"VU"	"VU"	""	"Euterpe edulis"
"31"	15745	"Syagrus romanzoffiana (Cham.) Glassman"	NA	"Arecaceae"	"species"	"accepted"	"Syagrus romanzoffiana"	"LC"	NA	NA	""	"Syagrus romanzoffiana"
"32"	609357	"Cordyline fruticosa (L.) A.Chev."	NA	"Asparagaceae"	"species"	"accepted"	"Cordyline fruticosa"	NA	NA	NA	""	"Cordyline fruticosa"
"33"	5219	"Baccharis oblongifolia (Ruiz & Pav.) Pers."	NA	"Asteraceae"	"species"	"accepted"	"Baccharis oblongifolia"	NA	NA	NA	""	"Baccharis oblongifolia"
"34"	5222	"Baccharis oreophila Malme"	NA	"Asteraceae"	"species"	"accepted"	"Baccharis oreophila"	NA	NA	NA	""	"Baccharis oreophila"
"35"	26979	"Chromolaena pedunculosa (Hook. & Arn.) R.M.King & H.Rob."	NA	"Asteraceae"	"species"	"accepted"	"Chromolaena pedunculosa"	NA	NA	NA	""	"Chromolaena pedunculosa"
"36"	104549	"Critoniopsis stellata (Spreng.) H.Rob."	NA	"Asteraceae"	"species"	"accepted"	"Critoniopsis stellata"	NA	NA	NA	""	"Critoniopsis stellata"
"37"	5303	"Dasyphyllum spinescens (Less.) Cabrera"	NA	"Asteraceae"	"species"	"accepted"	"Dasyphyllum spinescens"	NA	NA	NA	""	"Dasyphyllum spinescens"
"38"	130869	"Moquiniastrum polymorphum (Less.) G. Sancho"	NA	"Asteraceae"	"species"	"accepted"	"Moquiniastrum polymorphum"	NA	NA	NA	""	"Moquiniastrum polymorphum"
"39"	5488	"Piptocarpha regnellii (Sch.Bip.) Cabrera"	NA	"Asteraceae"	"species"	"accepted"	"Piptocarpha regnellii"	NA	NA	NA	""	"Piptocarpha regnellii"
"40"	104490	"Vernonanthura discolor (Spreng.) H.Rob."	NA	"Asteraceae"	"species"	"accepted"	"Vernonanthura discolor"	NA	NA	NA	""	"Vernonanthura discolor"
"41"	27444	"Vernonanthura divaricata (Spreng.) H.Rob."	NA	"Asteraceae"	"species"	"accepted"	"Vernonanthura divaricata"	NA	NA	NA	""	"Vernonanthura divaricata"
"42"	16377	"Vernonia Schreb."	NA	"Asteraceae"	"genus"	"accepted"	"Vernonia sp."	NA	NA	NA	""	"Vernonia sp."
"43"	114091	"Handroanthus ochraceus (Cham.) Mattos"	NA	"Bignoniaceae"	"species"	"accepted"	"Handroanthus ochraceus"	NA	NA	NA	""	"Handroanthus ochraceus"
"44"	114124	"Jacaranda cuspidifolia Mart."	NA	"Bignoniaceae"	"species"	"accepted"	"Jacaranda cuspidifolia"	NA	NA	NA	""	"Jacaranda cuspidifolia"
"45"	114153	"Jacaranda micrantha Cham."	NA	"Bignoniaceae"	"species"	"accepted"	"Jacaranda micrantha"	NA	NA	NA	""	"Jacaranda micrantha"
"46"	114174	"Jacaranda puberula Cham."	NA	"Bignoniaceae"	"species"	"accepted"	"Jacaranda puberula"	"LC"	NA	NA	""	"Jacaranda puberula"
"47"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not found"	"Jacaranda sp"
"48"	114468	"Zeyheria tuberculosa (Vell.) Bureau ex Verl."	NA	"Bignoniaceae"	"species"	"accepted"	"Zeyheria tuberculosa"	"VU"	"VU"	NA	""	"Zeyheria tuberculosa"
"49"	16502	"Cordia L."	NA	"Cordiaceae"	"genus"	"accepted"	"Cordia sp."	NA	NA	NA	""	"Cordia sp."
