"Fam"	"Distri"	"binom"	"n_MF1"	"n_MF2"	"n_MF3"	"n_MF4"	"n_MF5"	"n_MF6"	"biomass_total_MF1"	"biomass_total_MF2"	"biomass_total_MF3"	"biomass_total_MF4"	"biomass_total_MF5"	"biomass_total_MF6"
"151"	"Anacardiaceae"	"Trop"	"Astronium_graveolens"	NA	7	NA	NA	NA	NA	NA	0,000612890677435506	NA	NA	NA	NA
"176"	"Anacardiaceae"	"Trop"	"Lithraea_molleoides"	NA	3	NA	NA	NA	NA	NA	0,00144692205023515	NA	NA	NA	NA
"45"	"Anacardiaceae"	"Trop"	"Schinus_terebenthifolius"	8	NA	NA	NA	NA	NA	0,00112159757204575	NA	NA	NA	NA	NA
"171"	"Anacardiaceae"	"Trop"	"Tapirira_guianensis"	NA	5	NA	NA	NA	NA	NA	0,00030782181005286	NA	NA	NA	NA
"273"	"Annonaceae"	"Trop"	"Annona_emarginata"	NA	NA	NA	3	NA	NA	NA	NA	NA	6,41217159245419e-05	NA	NA
"299"	"Annonaceae"	"Trop"	"Annona_mucosa"	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	0,000229486186302533	NA
"229"	"Annonaceae"	"Trop"	"Annona_rugulosa"	NA	NA	78	NA	NA	25	NA	NA	0,00310466224495563	NA	NA	0,000511097926932193
"312"	"Annonaceae"	"Trop"	"Annona_sylvatica"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	3,06852119390505e-05	NA
"121"	"Annonaceae"	"Trop"	"Duguetia_lanceolata"	NA	28	NA	NA	1	NA	NA	0,00729470164386756	NA	NA	0,000113439013587836	NA
"140"	"Annonaceae"	"Trop"	"Guatteria_australis"	NA	12	NA	6	5	NA	NA	0,000796947952966973	NA	0,000634416369941428	0,000204684011855569	NA
"63"	"Annonaceae"	"Trop"	"Guatteria_hilariana"	4	NA	NA	NA	NA	NA	3,57876533599909e-05	NA	NA	NA	NA	NA
"23"	"Annonaceae"	"Trop"	"Guatteria_nigrescens"	24	NA	NA	NA	NA	NA	0,000344461177764964	NA	NA	NA	NA	NA
"212"	"Annonaceae"	"Trop"	"Porcelia_macrocarpa"	NA	1	NA	NA	NA	NA	NA	0,00076123770316945	NA	NA	NA	NA
"44"	"Annonaceae"	"Trop"	"Rollinia_silvatica"	8	NA	NA	NA	NA	NA	0,000499607890432746	NA	NA	NA	NA	NA
"223"	"Annonaceae"	"Trop"	"Xylopia_brasiliensis"	NA	1	NA	NA	NA	NA	NA	4,7375778468072e-05	NA	NA	NA	NA
"115"	"Annonaceae"	"Trop"	"Xylopia_langsdorffiana"	1	NA	NA	NA	NA	NA	2,25596776549355e-05	NA	NA	NA	NA	NA
"309"	"Apocynaceae"	"Trop"	"Aspidosperma_olivaceum"	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	9,02641734179399e-05	NA
"131"	"Apocynaceae"	"Trop"	"Aspidosperma_polyneurum"	NA	19	NA	NA	NA	NA	NA	0,00618112634884406	NA	NA	NA	NA
"22"	"Apocynaceae"	"Trop"	"Aspidosperma_quirandy"	25	7	NA	NA	NA	NA	0,00179642738833403	0,0042801214739137	NA	NA	NA	NA
"221"	"Apocynaceae"	"Trop"	"Tabernaemontana_laeta"	NA	1	NA	NA	NA	NA	NA	4,24878454730599e-05	NA	NA	NA	NA
"261"	"Aquifoliaceae"	"Temp"	"Ilex_(=2015_2190)"	NA	NA	1	NA	NA	NA	NA	NA	3,59805068706505e-05	NA	NA	NA
"262"	"Aquifoliaceae"	"Temp"	"Ilex_(=2015_2273)"	NA	NA	1	NA	NA	NA	NA	NA	6,85542908414085e-06	NA	NA	NA
"98"	"Aquifoliaceae"	"Temp"	"Ilex_amara"	1	NA	NA	NA	NA	NA	0,00015089605755129	NA	NA	NA	NA	NA
"330"	"Aquifoliaceae"	"Temp"	"Ilex_chamaedryfolia"	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	0,000436895328979672
"277"	"Aquifoliaceae"	"Temp"	"Ilex_dumosa"	NA	NA	NA	2	2	NA	NA	NA	NA	2,68450502245157e-05	2,05987188008349e-05	NA
"234"	"Aquifoliaceae"	"Temp"	"Ilex_microdonta"	NA	NA	29	15	NA	NA	NA	NA	0,00200579116636382	0,00142184795948972	NA	NA
"168"	"Aquifoliaceae"	"Temp"	"Ilex_paraguariensis"	NA	5	NA	6	40	NA	NA	0,00014753248704671	NA	7,80053807012439e-05	0,00175239796192857	NA
"238"	"Aquifoliaceae"	"Temp"	"Ilex_pseudobuxus"	NA	NA	10	NA	NA	NA	NA	NA	0,000584644248812133	NA	NA	NA
"68"	"Aquifoliaceae"	"Temp"	"Ilex_taubertiana"	3	NA	11	8	77	NA	0,00149549987790773	NA	0,000813465796700896	0,000324988855351632	0,00380345753696609	NA
"48"	"Aquifoliaceae"	"Temp"	"Ilex_theezans"	7	NA	6	3	12	NA	0,000107869852785925	NA	0,000264567870143294	2,85906411900528e-05	0,000464021523128253	NA
"126"	"Araliaceae"	"Trop"	"Dendropanax_cuneatus"	NA	22	NA	NA	NA	NA	NA	0,00207252527235265	NA	NA	NA	NA
"215"	"Araliaceae"	"Trop"	"Schefflera_angustissima"	NA	1	NA	NA	NA	NA	NA	8,75955097817653e-05	NA	NA	NA	NA
"170"	"Araliaceae"	"Trop"	"Schefflera_calva"	NA	5	NA	NA	41	NA	NA	0,000333042638305748	NA	NA	0,00445952100900342	NA
"5"	"Araucariaceae"	"Temp"	"Araucaria_angustifolia"	109	9	82	57	37	96	0,0285410798670084	0,0127650813434517	0,0716982560665353	0,0520595035114106	0,0222467024081011	0,0460330925126563
"117"	"Arecaceae"	"Trop"	"Euterpe_edulis"	NA	88	NA	NA	NA	NA	NA	0,00139103620496039	NA	NA	NA	NA
"75"	"Arecaceae"	"Trop"	"Syagrus_romanzoffiana"	3	54	NA	NA	NA	NA	0,000368851131019635	0,00755548415570941	NA	NA	NA	NA
"19"	"Asparagaceae"	"Trop"	"Cordyline_fruticosa"	35	1	NA	NA	NA	NA	0,000933309580004928	3,45940879301133e-05	NA	NA	NA	NA
"294"	"Asteraceae"	"Trop"	"Baccharis_oblongifolia"	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	0,000265221856771354	NA
"259"	"Asteraceae"	"Trop"	"Baccharis_oreophila"	NA	NA	1	NA	NA	7	NA	NA	0,000160898556009866	NA	NA	0,000221745554711037
