"Famyli"	"Fitogeography_origin"	"Genus_and_species"	"n_MF1"	"n_MF2"	"n_MF3"	"n_MF4"	"n_MF5"	"n_MF6"	"biomass_total_MF1 (Mg)"	"biomass_total_MF2(Mg)"	"biomass_total_MF3 (Mg)"	"biomass_total_MF4 (Mg)"	"biomass_total_MF5 (Mg)"	"biomass_total_MF6 (Mg)"
"1"	"Anacardiaceae"	"Trop"	"Astronium graveolens"	NA	0,612890677435506	NA	NA	NA	NA	NA	7	NA	NA	NA	NA
"2"	"Anacardiaceae"	"Trop"	"Lithraea molleoides"	NA	1,44692205023515	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
"3"	"Anacardiaceae"	"Trop"	"Schinus terebenthifolius"	1,12159757204575	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA
"4"	"Anacardiaceae"	"Trop"	"Tapirira guianensis"	NA	0,30782181005286	NA	NA	NA	NA	NA	5	NA	NA	NA	NA
"5"	"Annonaceae"	"Trop"	"Annona emarginata"	NA	NA	3,10466224495563	0,0641217159245419	NA	1,02219585386439	NA	NA	78	3	NA	50
"6"	"Annonaceae"	"Trop"	"Annona mucosa"	NA	NA	NA	NA	0,229486186302533	NA	NA	NA	NA	NA	8	NA
"7"	"Annonaceae"	"Trop"	"Annona sylvatica"	0,724977750162995	NA	NA	NA	0,0306852119390505	NA	8	NA	NA	NA	1	NA
"8"	"Annonaceae"	"Trop"	"Duguetia lanceolata"	NA	7,29470164386756	NA	NA	0,113439013587836	NA	NA	28	NA	NA	1	NA
"9"	"Annonaceae"	"Trop"	"Guatteria australis"	0,372891980049353	0,796947952966973	NA	0,634416369941428	0,204684011855569	NA	28	12	NA	6	5	NA
"10"	"Annonaceae"	"Trop"	"Porcelia macrocarpa"	NA	0,76123770316945	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"11"	"Annonaceae"	"Trop"	"Xylopia brasiliensis"	NA	0,047375778468072	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"12"	"Annonaceae"	"Trop"	"Xylopia langsdorffiana"	0,0225596776549355	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"13"	"Apocynaceae"	"Trop"	"Aspidosperma olivaceum"	NA	NA	NA	NA	0,0902641734179399	NA	NA	NA	NA	NA	2	NA
"14"	"Apocynaceae"	"Trop"	"Aspidosperma polyneurum"	NA	6,18112634884406	NA	NA	NA	NA	NA	19	NA	NA	NA	NA
"15"	"Apocynaceae"	"Trop"	"Aspidosperma quirandy"	1,79642738833403	4,2801214739137	NA	NA	NA	NA	25	7	NA	NA	NA	NA
"16"	"Apocynaceae"	"Trop"	"Tabernaemontana laeta"	NA	0,0424878454730599	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"17"	"Aquifoliaceae"	"Temp"	"Ilex (=2015_2190)"	NA	NA	0,0359805068706505	NA	NA	NA	NA	NA	1	NA	NA	NA
"18"	"Aquifoliaceae"	"Temp"	"Ilex (=2015_2273)"	NA	NA	0,00685542908414085	NA	NA	NA	NA	NA	1	NA	NA	NA
"19"	"Aquifoliaceae"	"Temp"	"Ilex chamaedryfolia"	NA	NA	NA	NA	NA	0,873790657959344	NA	NA	NA	NA	NA	32
"20"	"Aquifoliaceae"	"Temp"	"Ilex dumosa"	0,15089605755129	NA	NA	0,0268450502245157	0,0205987188008349	NA	1	NA	NA	2	2	NA
"21"	"Aquifoliaceae"	"Temp"	"Ilex microdonta"	NA	NA	2,00579116636382	1,42184795948972	NA	NA	NA	NA	29	15	NA	NA
"22"	"Aquifoliaceae"	"Temp"	"Ilex paraguariensis"	NA	0,14753248704671	NA	0,078005380701244	1,75239796192857	NA	NA	5	NA	6	40	NA
"23"	"Aquifoliaceae"	"Temp"	"Ilex pseudobuxus"	NA	NA	0,584644248812134	NA	NA	NA	NA	NA	10	NA	NA	NA
"24"	"Aquifoliaceae"	"Temp"	"Ilex taubertiana"	1,49549987790773	NA	0,813465796700896	0,324988855351632	3,80345753696609	NA	3	NA	11	8	77	NA
"25"	"Aquifoliaceae"	"Temp"	"Ilex theezans"	0,107869852785925	NA	0,264567870143294	0,0285906411900528	0,464021523128253	NA	7	NA	6	3	12	NA
"26"	"Araliaceae"	"Trop"	"Dendropanax cuneatus"	NA	2,07252527235265	NA	NA	NA	NA	NA	22	NA	NA	NA	NA
"27"	"Araliaceae"	"Trop"	"Schefflera angustissima"	NA	0,0875955097817653	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
"28"	"Araliaceae"	"Trop"	"Schefflera calva"	NA	0,333042638305748	NA	NA	4,45952100900343	NA	NA	5	NA	NA	41	NA
"29"	"Araucariaceae"	"Temp"	"Araucaria angustifolia"	28,5410798670084	12,7650813434517	71,6982560665353	52,0595035114106	22,2467024081011	92,0661850253127	109	9	82	57	37	192
"30"	"Arecaceae"	"Trop"	"Euterpe edulis"	NA	1,39103620496039	NA	NA	NA	NA	NA	88	NA	NA	NA	NA
"31"	"Arecaceae"	"Trop"	"Syagrus romanzoffiana"	0,368851131019635	7,55548415570941	NA	NA	NA	NA	3	54	NA	NA	NA	NA
"32"	"Asparagaceae"	"Trop"	"Cordyline fruticosa"	0,924891862406571	0,0349890210496725	NA	NA	NA	NA	35	1	NA	NA	NA	NA
"33"	"Asteraceae"	"Trop"	"Baccharis oblongifolia"	NA	NA	NA	NA	0,265221856771354	NA	NA	NA	NA	NA	22	NA
"34"	"Asteraceae"	"Trop"	"Baccharis oreophila"	NA	NA	0,160898556009866	NA	NA	0,443491109422074	NA	NA	1	NA	NA	14
"35"	"Asteraceae"	"Trop"	"Chromolaena pedunculosa"	NA	NA	NA	0,014507291058522	NA	NA	NA	NA	NA	1	NA	NA
"36"	"Asteraceae"	"Trop"	"Critoniopsis stellata"	NA	NA	NA	NA	0,254026294830772	NA	NA	NA	NA	NA	20	NA
"37"	"Asteraceae"	"Trop"	"Dasyphyllum spinescens"	2,05792359184703	0,00625260155828264	8,0311051880864	NA	NA	NA	3	1	9	NA	NA	NA
"38"	"Asteraceae"	"Trop"	"Moquiniastrum polymorphum"	NA	NA	NA	NA	1,25487885149045	3,17637409044664	NA	NA	NA	NA	7	16
"39"	"Asteraceae"	"Trop"	"Piptocarpha regnellii"	0,305079595696621	NA	3,01689565201362	10,4711301951731	4,19900756124263	8,78075210491253	1	NA	23	20	35	78
"40"	"Asteraceae"	"Trop"	"Vernonanthura discolor"	NA	NA	0,276199925846911	0,141881270710991	NA	NA	NA	NA	3	1	NA	NA
"41"	"Asteraceae"	"Trop"	"Vernonanthura divaricata"	NA	NA	NA	NA	0,525591278218119	NA	NA	NA	NA	NA	23	NA
"42"	"Asteraceae"	"Trop"	"Vernonia sp."	0,181241292778313	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA
"43"	"Bignoniaceae"	"Trop"	"Handroanthus ochraceus"	NA	NA	NA	NA	0,0371089122546717	NA	NA	NA	NA	NA	1	NA
"44"	"Bignoniaceae"	"Trop"	"Jacaranda cuspidifolia"	NA	NA	NA	NA	NA	0,465580351105731	NA	NA	NA	NA	NA	10
"45"	"Bignoniaceae"	"Trop"	"Jacaranda micrantha"	NA	6,43410869433418	NA	NA	NA	NA	NA	19	NA	NA	NA	NA
"46"	"Bignoniaceae"	"Trop"	"Jacaranda puberula"	3,65356149427952	NA	2,58120656936613	NA	0,119649106418003	NA	81	NA	37	NA	1	NA
"47"	"Bignoniaceae"	"Trop"	"Jacaranda sp"	NA	NA	NA	0,0167557065843359	NA	NA	NA	NA	NA	1	NA	NA
"48"	"Bignoniaceae"	"Trop"	"Zeyheria tuberculosa"	0,0169852715670033	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"49"	"Boraginaceae"	"Trop"	"Cordia sp."	1,24782613740942	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
"50"	"Boraginaceae"	"Trop"	"Patagonula americana"	NA	5,93980665785065	NA	NA	NA	NA	NA	7	NA	NA	NA	NA
"51"	"Canellaceae"	"Trop"	"Capsicodendron dinisii"	0,682404271471428	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"52"	"Cannabaceae"	"Trop"	"Trema micrantha"	NA	0,197140253992051	NA	NA	NA	NA	NA	16	NA	NA	NA	NA
"53"	"Cardiopteridaceae"	"Trop"	"Citronella paniculata"	NA	0,47790688722791	0,0152225797687027	0,0260008277733239	NA	NA	NA	6	1	2	NA	NA
"54"	"Caricaceae"	"Trop"	"Jacaratia heptaphylla"	NA	3,16678919795663	NA	NA	NA	NA	NA	13	NA	NA	NA	NA
"55"	"Celastraceae"	"Trop"	"Maytenus aquifolia"	0,0611048070566377	0,492787698547187	NA	NA	NA	NA	3	5	NA	NA	NA	NA
"56"	"Celastraceae"	"Trop"	"Maytenus evonymoides"	0,241069666805378	0,0478569264374778	NA	NA	0,0928770693747857	NA	5	4	NA	NA	2	NA
"57"	"Celastraceae"	"Trop"	"Maytenus salicifolia"	NA	NA	0,02914678413181	NA	NA	NA	NA	NA	2	NA	NA	NA
"58"	"Celastraceae"	"Trop"	"Maytenus sp.1"	0,374638028437002	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA
"59"	"Chrysobalanaceae"	"Trop"	"Licania kunthiana"	2,39008583308916	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
"60"	"Clethraceae"	"Trop"	"Clethra scabra"	NA	0,123671043558866	0,443855435083399	17,4393343610061	0,297415034879665	0,083918446386453	NA	1	9	96	8	6
